Enabled	Feature                   	ID	x         	y       	z       	i	j	k	Dev From Fit	Device Position  	Probe	Device Name
Checked	Polyline 5X5 Interlace 4X4	1 	-4,888.749	308.031 	320.635 	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	2 	-4,929.074	306.252 	200.773 	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	3 	-4,992.833	312.203 	10.333  	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	4 	-5,054.566	304.659 	-174.816	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	5 	-5,109.284	299.745 	-340.084	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	6 	-5,110.992	169.272 	-344.102	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	7 	-5,111.884	-6.055  	-346.269	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	8 	-5,109.003	-162.286	-337.920	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	9 	-5,106.311	-304.683	-330.712	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	10	-5,064.645	-316.138	-204.496	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	11	-5,064.116	-197.611	-202.028	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	12	-5,066.207	-55.376 	-208.029	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	13	-5,070.499	161.058 	-221.376	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	14	-5,009.933	155.871 	-39.492 	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	15	-5,006.824	-29.629 	-29.410 	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	16	-5,004.651	-188.993	-23.046 	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	17	-4,998.793	-309.740	-6.218  	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
Checked	Polyline 5X5 Interlace 4X4	18	-4,931.592	-308.631	194.516 	 	 	 	0.000       	Device Position 1	3    	E09-05-16-14656
