CODE1,-9368.090,3159.522,1166.630,0.027,0.019,0.012,0.000
CODE2,-8647.356,5170.525,1174.694,0.041,0.041,0.016,0.000
CODE3,-7403.813,575.658,3402.319,0.048,0.051,0.025,0.000
CODE4,-5929.252,6304.133,-659.867,0.032,0.063,0.030,0.000
CODE5,-5486.582,4443.601,-2486.104,0.028,0.043,0.026,0.000
CODE6,-5113.152,2636.610,-4337.042,0.042,0.054,0.043,0.000
CODE7,-4370.647,5195.270,-2988.245,0.028,0.057,0.031,0.000
CODE8,-1182.564,2493.147,4169.936,0.082,0.029,0.130,0.000
CODE9,-794.075,668.342,2291.173,0.067,0.025,0.092,0.000
CODE12,-5257.648,-138.390,5256.403,0.010,0.010,0.018,0.000
CODE13,-8972.125,1907.594,887.920,0.025,0.030,0.019,0.000
CODE20,-2994.672,-2754.817,-585.189,0.020,0.011,0.012,0.000
CODE21,-3029.552,-2800.619,-549.111,0.023,0.013,0.011,0.000
CODE25,-9133.367,2141.890,2250.294,0.019,0.016,0.018,0.000
CODE26,-6705.494,211.095,4752.925,0.013,0.014,0.017,0.000
CODE28,-8816.013,1953.366,1100.982,0.020,0.013,0.026,0.000
CODE30,-3018.099,-2729.329,-547.734,0.019,0.024,0.025,0.000
CODE31,-5907.767,-411.853,4094.361,0.027,0.014,0.025,0.000
CODE33,-2969.972,6434.757,-389.617,0.036,0.060,0.042,0.000
CODE34,-2934.340,6429.816,-390.851,0.020,0.077,0.030,0.000
CODE35,-7263.954,4931.607,2626.116,0.039,0.047,0.015,0.000
CODE36,-7263.319,4950.019,2595.776,0.017,0.038,0.067,0.000
CODE39,-4839.435,2982.888,5088.305,0.047,0.074,0.090,0.000
CODE40,-4874.082,2985.868,5087.666,0.020,0.013,0.055,0.000
CODE41,-547.192,4486.584,2072.037,0.082,0.053,0.096,0.000
CODE42,-548.558,4467.347,2102.258,0.045,0.079,0.028,0.000
CODE49,-371.052,3762.038,3316.767,0.078,0.041,0.099,0.000
CODE50,-4271.081,6932.509,-692.725,0.025,0.081,0.031,0.000
