# x y z x_res y_res z_res x_res_err y_res_err z_res_err
8.456661137452002777e+02 2.076990036935742864e+03 -3.249608723775551056e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.677040216918840088e-03 1.656134687227631477e-02 1.557964842247954070e-02 1.226524929823685772e-02
4.698765489824392034e+02 2.491021801377217798e+03 -4.021983493507695329e+01 0.000000000000000000e+00 0.000000000000000000e+00 -8.570260575567090200e-03 1.562203799450863004e-02 1.468899717582310312e-02 1.154407825777027836e-02
6.559092712461138035e+02 2.326745965266990879e+03 -3.701441746475391881e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.147666032045947304e-02 1.656134687227631477e-02 1.557964842247954070e-02 1.226536015639000804e-02
4.704154234742590575e+02 2.075811791888887001e+03 -2.864571390016637764e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.347622605220678338e-02 1.656134687227631477e-02 1.557964842247954070e-02 1.226509115851236349e-02
8.450473776307829894e+02 2.497154710343920669e+03 -4.418407385199952131e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.148930325324215573e-02 1.712092917511845794e-02 1.561489737741667515e-02 1.293578094471419491e-02
1.740417977971748371e+02 2.493236587950300418e+03 -3.882535447761976144e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.804890635848011016e-02 1.757388878167848167e-02 1.613206257592581655e-02 1.319647907839405915e-02
-1.472989416504629112e+01 2.321854505554625121e+03 -3.356441822430593191e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.707370500602280572e-02 1.562203799450863004e-02 1.468899717582310312e-02 1.154387267730628934e-02
1.743433038866303946e+02 2.072592309966740686e+03 -2.708444437314208386e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.296344309951535934e-02 1.515583294574418712e-02 1.416954142264902246e-02 1.127084488717345484e-02
-1.998959656768018931e+02 2.070416022923844139e+03 -2.710314512445349422e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.817085625174797769e-03 1.515583294574418712e-02 1.416954142264902246e-02 1.127084615801982916e-02
-2.001625329048192441e+02 2.487720858939829213e+03 -3.873332826668509199e+01 0.000000000000000000e+00 0.000000000000000000e+00 -6.616167930900473948e-03 1.562203799450863004e-02 1.468899717582310312e-02 1.154402276575399768e-02
6.586467484586935370e+02 1.577520953868770221e+03 -1.906535971920475347e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.216208322839662515e-02 1.515583294574418712e-02 1.416954142264902246e-02 1.127065909579503221e-02
4.734023684311171110e+02 1.744018738945464293e+03 -2.085477036290174979e+01 0.000000000000000000e+00 0.000000000000000000e+00 -9.086603075338928193e-04 1.515583294574418712e-02 1.416954142264902246e-02 1.127069008541279130e-02
4.739365148552020628e+02 1.326486711398525586e+03 -1.288593633328961197e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.493718201738580831e-02 1.461655102303576099e-02 1.413645036809458438e-02 1.061302946391541949e-02
8.490120835440401379e+02 1.748367644634592352e+03 -2.481849422653986181e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.124151945317720447e-02 1.515583294574418712e-02 1.416954142264902246e-02 1.127084053070602325e-02
8.486406952710415226e+02 1.326995520068601536e+03 -1.678707356032947473e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.025507682352611027e-02 1.472131195666861146e-02 1.368257501964280191e-02 1.101795550847084644e-02
1.787889057994275106e+02 1.745070134711271521e+03 -1.937793572555926502e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.701263810529951570e-02 1.461655102303576099e-02 1.413645036809458438e-02 1.061320569358786652e-02
1.782430858951596520e+02 1.324943201616069246e+03 -1.134291737585489912e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.782824564432019088e-03 1.515583294574418712e-02 1.416954142264902246e-02 1.127041061840055799e-02
-1.186555782458115793e+01 1.574065767653288958e+03 -1.560300115338788984e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.826906110693272467e-02 1.461655102303576099e-02 1.413645036809458438e-02 1.061309320206106979e-02
-1.957644646033947140e+02 1.740285663707708636e+03 -1.932420739715470148e+01 0.000000000000000000e+00 0.000000000000000000e+00 -8.717583305269727134e-03 1.461655102303576099e-02 1.413645036809458438e-02 1.061320455167560212e-02
-1.960945427556718812e+02 1.323905419288432086e+03 -1.137831647911580291e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.093908966407219907e-02 1.461655102303576099e-02 1.413645036809458438e-02 1.061297180358142245e-02
1.710358941425990054e+02 2.823526846490051412e+03 -4.944539239847468792e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.618123221947769252e-03 1.650883715718060724e-02 1.606629212623517100e-02 1.190075628690447779e-02
-2.051058242545979056e+02 2.821687892810281937e+03 -4.948038448476638251e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.606863554074578815e-02 1.702919731858312455e-02 1.609794607440344361e-02 1.254058330253770594e-02
-2.040970404328741949e+02 3.237594744974600417e+03 -6.456705839929372814e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.464509145119109235e-02 1.895611219469621467e-02 1.858430770690061573e-02 1.352701097064679114e-02
1.713971380032562593e+02 3.243924955807673086e+03 -6.471887594959969192e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.119137989195451155e-02 1.701833151758729706e-02 1.661240062348056865e-02 1.220869863031306783e-02
-1.983220155046935673e+01 3.072685557359153336e+03 -5.804612930184099184e+01 0.000000000000000000e+00 0.000000000000000000e+00 -5.275185036744289846e-03 1.893058866585101835e-02 1.804922653212986602e-02 1.382983640416061630e-02
-4.948086801458686068e+02 2.489556799697199040e+03 -4.035997437188002834e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.593164902540223693e-02 1.650883715718060724e-02 1.606629212623517100e-02 1.190047189227317129e-02
-4.955436639714750413e+02 2.070606201580581001e+03 -2.870118332386204330e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.449726375631854580e-02 1.650883715718060724e-02 1.606629212623517100e-02 1.190008771579679700e-02
-6.862391511244406956e+02 2.320940180113310817e+03 -3.716317326064484661e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.363038876738698946e-02 1.701833151758729706e-02 1.661240062348056865e-02 1.220779107319770393e-02
-8.677423627839314122e+02 2.485514446270463850e+03 -4.413034614842030123e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.570106336357014243e-02 1.701833151758729706e-02 1.661240062348056865e-02 1.220804628831195261e-02
-8.691668976834422438e+02 2.068571176482854753e+03 -3.259391318770763490e+01 0.000000000000000000e+00 0.000000000000000000e+00 -7.591695099456785556e-03 1.601518016795346055e-02 1.603711531314036542e-02 1.127956480591107633e-02
1.814085869141128740e+02 9.962602941667714731e+02 -6.559582842581178852e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.009267994790178591e-03 1.461655102303576099e-02 1.413645036809458438e-02 1.061282904987065345e-02
-8.475545019560398075e+00 8.256245149114248534e+02 -4.335778977257873201e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.596393754924374520e-02 1.416549742350254291e-02 1.364830333959456653e-02 1.034406417276636722e-02
-1.932483582675282889e+02 5.734455252739282969e+02 -2.395086097144608406e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.886376121987810350e-02 1.504732022315140305e-02 1.502597453802769802e-02 1.068473417474193575e-02
-1.942673112645709352e+02 9.899842353788258151e+02 -6.519241350359132880e+00 0.000000000000000000e+00 0.000000000000000000e+00 -8.196771802993829681e-03 1.504732022315140305e-02 1.502597453802769802e-02 1.068487191108651035e-02
1.825653230114249084e+02 5.770662785766429579e+02 -2.389571556611119529e+00 0.000000000000000000e+00 0.000000000000000000e+00 -2.371512212071547054e-03 1.460957218211096816e-02 1.456766507912106434e-02 1.041789780709906181e-02
-4.921559180836881637e+02 1.742702165304674736e+03 -2.096760526303075167e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.397845091407390328e-03 1.602580273156152188e-02 1.554693924343934427e-02 1.160984889485786216e-02
-6.827783962279197567e+02 1.575075753327659868e+03 -1.927063560613051152e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.857963965933606687e-02 1.551678590174613431e-02 1.551678590174618809e-02 1.097271501037911864e-02
-8.652878106605982111e+02 1.320682197377928333e+03 -1.690690102902540914e+01 0.000000000000000000e+00 0.000000000000000000e+00 -4.526202852851213265e-03 1.551678590174613431e-02 1.551678590174618809e-02 1.097265298936483599e-02
-4.906858374951241899e+02 1.324685947440063273e+03 -1.298316783899250204e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.424807529625596203e-03 1.551678590174613431e-02 1.551678590174618809e-02 1.097248829599906106e-02
-8.650917580105693787e+02 1.739193392119675309e+03 -2.483566261907295569e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.915820889710317942e-03 1.601518016795346055e-02 1.603711531314036542e-02 1.127929649705909296e-02
8.429943565972068882e+02 2.825055491737160537e+03 -5.467503279665111648e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.072141085730862642e-02 1.757388878167848167e-02 1.613206257592581655e-02 1.319701054130977338e-02
4.663428234016642477e+02 3.240501018831893816e+03 -6.600137742782929706e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.165475377528935041e-02 1.752356883387161737e-02 1.664301594074500332e-02 1.283323477371069166e-02
8.433006030064339029e+02 3.246227424183691255e+03 -6.992857851505750943e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.377087746961080938e-02 1.804228146062605842e-02 1.721231478728363351e-02 1.314160622541981141e-02
4.665400744671073880e+02 2.823627270028192470e+03 -5.088214705788887215e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.275488795471346748e-04 1.650883715718060724e-02 1.606629212623517100e-02 1.190081371172498591e-02
