# angle direction x y z
4.000000000000000000e+01 1.000000000000000000e+00 -2.394724203841090002e+03 -2.961484062467832246e+03 -1.167002285731783786e+02
5.000000000000000000e+01 1.000000000000000000e+00 -2.395186434897048457e+03 -2.961577454100538944e+03 -1.164481521228195788e+02
6.000000000000000000e+01 1.000000000000000000e+00 -2.395711636488686054e+03 -2.961724058462011271e+03 -1.163201888234151937e+02
7.000000000000000000e+01 1.000000000000000000e+00 -2.396328973466901516e+03 -2.961776874765660523e+03 -1.163274776489787001e+02
8.000000000000000000e+01 1.000000000000000000e+00 -2.397014479638586181e+03 -2.961877967689375055e+03 -1.164260429445230756e+02
9.000000000000000000e+01 1.000000000000000000e+00 -2.397756800000000112e+03 -2.961943315965500915e+03 -1.166193526422092646e+02
1.000000000000000000e+02 1.000000000000000000e+00 -2.399177747199593796e+03 -2.961793563374586938e+03 -1.168249429689836489e+02
1.100000000000000000e+02 1.000000000000000000e+00 -2.400195363294955314e+03 -2.961671407079982600e+03 -1.172997941666736921e+02
1.200000000000000000e+02 1.000000000000000000e+00 -2.400996044406836063e+03 -2.961558058306017756e+03 -1.180309486503263798e+02
1.300000000000000000e+02 1.000000000000000000e+00 -2.401608273035596085e+03 -2.961410885587271878e+03 -1.190728116126979188e+02
1.400000000000000000e+02 -1.000000000000000000e+00 -2.402134399691829913e+03 -2.961213510455765118e+03 -1.203170441003635034e+02
1.300000000000000000e+02 -1.000000000000000000e+00 -2.401663270779731192e+03 -2.961409404742509196e+03 -1.191081962878948701e+02
1.200000000000000000e+02 -1.000000000000000000e+00 -2.401056234838448745e+03 -2.961567294557281912e+03 -1.180802290075176160e+02
1.100000000000000000e+02 -1.000000000000000000e+00 -2.400272108546183972e+03 -2.961684490883999388e+03 -1.173451807339186956e+02
1.000000000000000000e+02 -1.000000000000000000e+00 -2.399263184049624215e+03 -2.961820230723188615e+03 -1.168702188695866937e+02
9.000000000000000000e+01 -1.000000000000000000e+00 -2.397895700000000033e+03 -2.961951723581097667e+03 -1.166441282754004902e+02
8.000000000000000000e+01 -1.000000000000000000e+00 -2.397165557857456861e+03 -2.961872240455116298e+03 -1.164629885879831761e+02
7.000000000000000000e+01 -1.000000000000000000e+00 -2.396481475870956274e+03 -2.961771577446412266e+03 -1.163879366033702070e+02
6.000000000000000000e+01 -1.000000000000000000e+00 -2.395795664484733607e+03 -2.961724353283811524e+03 -1.163249657429593498e+02
5.000000000000000000e+01 -1.000000000000000000e+00 -2.395238893422645106e+03 -2.961570856029873084e+03 -1.164284780648825830e+02
4.000000000000000000e+01 -1.000000000000000000e+00 -2.394707619122491451e+03 -2.961487437590632453e+03 -1.167158390073524572e+02
