# angle direction x y z
4.000000000000000000e+01 1.000000000000000000e+00 2.403448917620205975e+03 -2.703074300000000221e+03 4.817413817056598418e+03
5.000000000000000000e+01 1.000000000000000000e+00 nan nan nan
6.000000000000000000e+01 1.000000000000000000e+00 2.402437702191857625e+03 -2.702694100000000162e+03 4.817834362215326109e+03
7.000000000000000000e+01 1.000000000000000000e+00 2.401831937501849552e+03 -2.702505899999999656e+03 4.817847662467606824e+03
8.000000000000000000e+01 1.000000000000000000e+00 2.401151096350688476e+03 -2.702297900000000027e+03 4.817822030039334095e+03
9.000000000000000000e+01 1.000000000000000000e+00 2.400398499999999785e+03 -2.702054200000000037e+03 4.817732899999999972e+03
1.000000000000000000e+02 1.000000000000000000e+00 2.398987986337609982e+03 -2.701975500000000011e+03 4.817590618636783802e+03
1.100000000000000000e+02 1.000000000000000000e+00 2.397942873624199365e+03 -2.702054099999999380e+03 4.817279358369094552e+03
1.200000000000000000e+02 1.000000000000000000e+00 2.397107563638826832e+03 -2.702157400000000052e+03 4.816691708569907860e+03
1.300000000000000000e+02 1.000000000000000000e+00 2.396481796911707988e+03 -2.702323600000000170e+03 4.815890956500540597e+03
1.400000000000000000e+02 -1.000000000000000000e+00 2.395965890181190844e+03 -2.702530099999999948e+03 4.814890501055544519e+03
1.300000000000000000e+02 -1.000000000000000000e+00 2.396466490072834858e+03 -2.702271299999999883e+03 4.815881506596640065e+03
1.200000000000000000e+02 -1.000000000000000000e+00 2.397072426658929999e+03 -2.702101299999999810e+03 4.816691167604312795e+03
1.100000000000000000e+02 -1.000000000000000000e+00 2.397866221306904208e+03 -2.702004599999999755e+03 4.817248160256117444e+03
1.000000000000000000e+02 -1.000000000000000000e+00 2.398865669670369243e+03 -2.701946199999999862e+03 4.817585196191287650e+03
9.000000000000000000e+01 -1.000000000000000000e+00 2.400280699999999797e+03 -2.702004300000000057e+03 4.817750399999999900e+03
8.000000000000000000e+01 -1.000000000000000000e+00 2.401008757559972310e+03 -2.702234500000000025e+03 4.817883785109227574e+03
7.000000000000000000e+01 -1.000000000000000000e+00 2.401666620349729328e+03 -2.702450699999999415e+03 4.817909216421296151e+03
6.000000000000000000e+01 -1.000000000000000000e+00 2.402344800871112511e+03 -2.702627199999999903e+03 4.817887652407704991e+03
5.000000000000000000e+01 -1.000000000000000000e+00 2.402915333192911476e+03 -2.702836400000000140e+03 4.817715512263813253e+03
4.000000000000000000e+01 -1.000000000000000000e+00 2.403439186077664544e+03 -2.703068200000000161e+03 4.817417791610631866e+03
