# angle direction x y z
4.000000000000001421e+01 1.000000000000000000e+00 -2.394527891981773791e+03 3.028490746839577241e+03 -1.155849736794628058e+02
5.000000000000001421e+01 1.000000000000000000e+00 -2.395223736845537132e+03 3.028325993139795628e+03 -1.155837210589968578e+02
6.000000000000001421e+01 1.000000000000000000e+00 -2.396002808537425153e+03 3.028194789961470178e+03 -1.156397307823412604e+02
7.000000000000001421e+01 1.000000000000000000e+00 -2.396906308399753016e+03 3.028117494117833758e+03 -1.158328476655703696e+02
8.000000000000001421e+01 1.000000000000000000e+00 -2.397936405170008584e+03 3.028051182778824568e+03 -1.160432378153011257e+02
9.000000000000001421e+01 1.000000000000000000e+00 -2.399046400000000631e+03 3.027965637954599060e+03 -1.163124299516183555e+02
1.000000000000000000e+02 1.000000000000000000e+00 nan nan nan
1.100000000000000142e+02 1.000000000000000000e+00 -2.401484163411668760e+03 3.028165573341798790e+03 -1.169473114704529451e+02
1.200000000000000142e+02 1.000000000000000000e+00 -2.402363340609297666e+03 3.028258578880542700e+03 -1.173808552730496899e+02
1.300000000000000000e+02 1.000000000000000000e+00 -2.403164438787586278e+03 3.028385565720223440e+03 -1.179029335029141379e+02
1.400000000000000000e+02 -1.000000000000000000e+00 nan nan nan
1.300000000000000000e+02 -1.000000000000000000e+00 nan nan nan
1.200000000000000142e+02 -1.000000000000000000e+00 -2.402507752372759114e+03 3.028245999427766947e+03 -1.174035482222170401e+02
1.100000000000000142e+02 -1.000000000000000000e+00 -2.401654486481817912e+03 3.028154615501220178e+03 -1.169591604157560170e+02
1.000000000000000142e+02 -1.000000000000000000e+00 -2.400707721309582666e+03 3.028026264430808169e+03 -1.166130155558314954e+02
9.000000000000001421e+01 -1.000000000000000000e+00 -2.399243000000000393e+03 3.027947973017576714e+03 -1.163363558789775567e+02
8.000000000000001421e+01 -1.000000000000000000e+00 -2.398104476580922437e+03 3.028032333844908862e+03 -1.160701623120183399e+02
7.000000000000001421e+01 -1.000000000000000000e+00 -2.397086298888145848e+03 3.028128133810934287e+03 -1.158711211683987869e+02
6.000000000000001421e+01 -1.000000000000000000e+00 -2.396148646202972031e+03 3.028182446081993476e+03 -1.156760876791737616e+02
5.000000000000001421e+01 -1.000000000000000000e+00 -2.395303608618090948e+03 3.028321271762436936e+03 -1.155740546974817704e+02
4.000000000000001421e+01 -1.000000000000000000e+00 -2.394525994369268574e+03 3.028478640235115108e+03 -1.156003388737403128e+02
