# angle direction x y z
4.000000000000000000e+01 1.000000000000000000e+00 nan nan nan
5.000000000000000000e+01 1.000000000000000000e+00 nan nan nan
6.000000000000000000e+01 1.000000000000000000e+00 2.400379364111783616e+03 2.653154199999999946e+03 2.141965016081483554e+03
7.000000000000000000e+01 1.000000000000000000e+00 2.399532747620205100e+03 2.653240799999999581e+03 2.141876525603640857e+03
8.000000000000000000e+01 1.000000000000000000e+00 2.398458051304301534e+03 2.653395300000000134e+03 2.141700472736108622e+03
9.000000000000000000e+01 1.000000000000000000e+00 2.397403400000000147e+03 2.653537299999999959e+03 2.141502100000000155e+03
1.000000000000000000e+02 1.000000000000000000e+00 2.395875352319384092e+03 2.653627800000000207e+03 2.141278317922864062e+03
1.100000000000000000e+02 1.000000000000000000e+00 2.394903626377779801e+03 2.653555099999999584e+03 2.141047973604629078e+03
1.200000000000000000e+02 1.000000000000000000e+00 2.394050983038815048e+03 2.653569300000000112e+03 2.140716061466555857e+03
1.300000000000000000e+02 1.000000000000000000e+00 2.393299784775333137e+03 2.653630400000000009e+03 2.140282541889542699e+03
1.400000000000000000e+02 -1.000000000000000000e+00 2.392708123504424293e+03 2.653687600000000202e+03 2.139852170901304362e+03
1.300000000000000000e+02 -1.000000000000000000e+00 2.393209094820258542e+03 2.653686200000000099e+03 2.140282810308114222e+03
1.200000000000000000e+02 -1.000000000000000000e+00 2.393917713322460713e+03 2.653624899999999798e+03 2.140717291386391935e+03
1.100000000000000000e+02 -1.000000000000000000e+00 2.394741644112706126e+03 2.653605699999999615e+03 2.141034563690324831e+03
1.000000000000000000e+02 -1.000000000000000000e+00 2.395689929725079764e+03 2.653671499999999924e+03 2.141282381360005274e+03
9.000000000000000000e+01 -1.000000000000000000e+00 2.397210999999999785e+03 2.653588299999999890e+03 2.141515800000000127e+03
8.000000000000000000e+01 -1.000000000000000000e+00 2.398299899531961728e+03 2.653443400000000111e+03 2.141709979938944343e+03
7.000000000000000000e+01 -1.000000000000000000e+00 2.399379040862163038e+03 2.653277799999999388e+03 2.141907994199606946e+03
6.000000000000000000e+01 -1.000000000000000000e+00 2.400338059440433426e+03 2.653158100000000104e+03 2.141962074292115631e+03
5.000000000000000000e+01 -1.000000000000000000e+00 nan nan nan
4.000000000000000000e+01 -1.000000000000000000e+00 nan nan nan
