# angle direction x y z
4.000000000000000000e+01 1.000000000000000000e+00 -1.993215315426185725e+03 -2.734873520320323223e+03 1.767177139241398152e+02
5.000000000000000000e+01 1.000000000000000000e+00 -1.993648918742744399e+03 -2.735056423564736633e+03 1.766929839476891289e+02
6.000000000000000000e+01 1.000000000000000000e+00 -1.994004789612391733e+03 -2.735171895407312149e+03 1.766236408936667885e+02
7.000000000000000000e+01 1.000000000000000000e+00 -1.994465308614840524e+03 -2.735210904487318203e+03 1.765082554473356709e+02
8.000000000000000000e+01 1.000000000000000000e+00 -1.994954516430765125e+03 -2.735250919955967674e+03 1.763691721536658292e+02
9.000000000000000000e+01 1.000000000000000000e+00 -1.995554699999999912e+03 -2.735221675486726326e+03 1.762178593673302771e+02
1.000000000000000000e+02 1.000000000000000000e+00 -1.996927765170813473e+03 -2.735154004521754814e+03 1.761449167549540107e+02
1.100000000000000000e+02 1.000000000000000000e+00 -1.997884795808774697e+03 -2.734949090674419949e+03 1.759921793256500280e+02
1.200000000000000000e+02 1.000000000000000000e+00 -1.998622971700697235e+03 -2.734533025167458163e+03 1.757483977957538457e+02
1.300000000000000000e+02 1.000000000000000000e+00 -1.999126648198400972e+03 -2.733750000688664841e+03 1.753656419462397196e+02
1.400000000000000000e+02 -1.000000000000000000e+00 -1.999500564566174944e+03 -2.732782467170859036e+03 1.748940820865881562e+02
1.300000000000000000e+02 -1.000000000000000000e+00 -1.999169410689738925e+03 -2.733751204284790674e+03 1.753839627183559173e+02
1.200000000000000000e+02 -1.000000000000000000e+00 -1.998598442793311506e+03 -2.734511630480207259e+03 1.757547586180208441e+02
1.100000000000000000e+02 -1.000000000000000000e+00 -1.997919200646569834e+03 -2.734941282573176522e+03 1.760140315724738116e+02
1.000000000000000000e+02 -1.000000000000000000e+00 -1.996961922977222684e+03 -2.735162781667335821e+03 1.761775678801540437e+02
9.000000000000000000e+01 -1.000000000000000000e+00 -1.995557800000000043e+03 -2.735206275194521368e+03 1.762261129120225576e+02
8.000000000000000000e+01 -1.000000000000000000e+00 -1.994990196633006690e+03 -2.735218307403010385e+03 1.763825454314051626e+02
7.000000000000000000e+01 -1.000000000000000000e+00 -1.994545684447181429e+03 -2.735182330426456701e+03 1.765252938927233970e+02
6.000000000000000000e+01 -1.000000000000000000e+00 -1.994028066784666407e+03 -2.735184528157873046e+03 1.766505148004211776e+02
5.000000000000000000e+01 -1.000000000000000000e+00 -1.993644733598286848e+03 -2.735049918473151138e+03 1.767228599974500014e+02
4.000000000000000000e+01 -1.000000000000000000e+00 -1.993187470652542288e+03 -2.734861742446804783e+03 1.767204287493877075e+02
