# angle direction x y z
4.000000000000000000e+01 1.000000000000000000e+00 2.000851033820392104e+03 -2.736682410686733419e+03 1.754907727069269185e+02
5.000000000000000000e+01 1.000000000000000000e+00 2.000472535804285144e+03 -2.736815420825327692e+03 1.755664159686265293e+02
6.000000000000000000e+01 1.000000000000000000e+00 2.000085967608927831e+03 -2.736798085514049944e+03 1.755452477802539022e+02
7.000000000000000000e+01 1.000000000000000000e+00 1.999617345085509669e+03 -2.736797133695755292e+03 1.755505171980236696e+02
8.000000000000000000e+01 1.000000000000000000e+00 1.999112619857726713e+03 -2.736711879458220210e+03 1.754970117160728478e+02
9.000000000000000000e+01 1.000000000000000000e+00 1.998606099999999969e+03 -2.736615733970435485e+03 1.754996428651512588e+02
1.000000000000000000e+02 1.000000000000000000e+00 1.997175786094283922e+03 -2.736572463158599476e+03 1.753761206819308995e+02
1.100000000000000000e+02 1.000000000000000000e+00 1.996188740127751544e+03 -2.736344491095665944e+03 1.751712144750067921e+02
1.200000000000000000e+02 1.000000000000000000e+00 1.995475424045622276e+03 -2.735828845729233308e+03 1.748715766687247140e+02
1.300000000000000000e+02 1.000000000000000000e+00 1.994920078624762027e+03 -2.735031377476700982e+03 1.744988689329672695e+02
1.400000000000000000e+02 -1.000000000000000000e+00 1.994524120716264406e+03 -2.734079768037620852e+03 1.741040845746781258e+02
1.300000000000000000e+02 -1.000000000000000000e+00 1.994907880093476251e+03 -2.735022576748016036e+03 1.744743264593938932e+02
1.200000000000000000e+02 -1.000000000000000000e+00 1.995415504826240522e+03 -2.735843945414361770e+03 1.748508900387977860e+02
1.100000000000000000e+02 -1.000000000000000000e+00 1.996132674335195361e+03 -2.736337051424592119e+03 1.751323683915572076e+02
1.000000000000000000e+02 -1.000000000000000000e+00 1.997127381684166721e+03 -2.736622925390532600e+03 1.753698567989895309e+02
9.000000000000000000e+01 -1.000000000000000000e+00 1.998495200000000068e+03 -2.736687517673321508e+03 1.755002753206832153e+02
8.000000000000000000e+01 -1.000000000000000000e+00 1.999080897088927713e+03 -2.736760451581691996e+03 1.755089860536843105e+02
7.000000000000000000e+01 -1.000000000000000000e+00 1.999556479250087477e+03 -2.736849621822300833e+03 1.755613724571201715e+02
6.000000000000000000e+01 -1.000000000000000000e+00 2.000053566854215887e+03 -2.736859636320406025e+03 1.755701919044314536e+02
5.000000000000000000e+01 -1.000000000000000000e+00 2.000442338677198677e+03 -2.736839693546422041e+03 1.755716608257646101e+02
4.000000000000000000e+01 -1.000000000000000000e+00 2.000836855643698300e+03 -2.736682100839109353e+03 1.755077457237503893e+02
