# angle direction x y z
4.000000000000000000e+01 1.000000000000000000e+00 -1.995921198303342862e+03 -3.763462300000000141e+03 -2.551618034355366945e+03
5.000000000000000000e+01 1.000000000000000000e+00 -1.996409601864970000e+03 -3.763448100000000068e+03 -2.551384402847762431e+03
6.000000000000000000e+01 1.000000000000000000e+00 -1.997001872466012173e+03 -3.763396299999999883e+03 -2.551290705921317112e+03
7.000000000000000000e+01 1.000000000000000000e+00 -1.997586369693960478e+03 -3.763395899999999529e+03 -2.551274502429103904e+03
8.000000000000000000e+01 1.000000000000000000e+00 -1.998232762984534475e+03 -3.763447099999999864e+03 -2.551274210086600306e+03
9.000000000000000000e+01 1.000000000000000000e+00 -1.998891100000000051e+03 -3.763580899999999929e+03 -2.551291099999999915e+03
1.000000000000000000e+02 1.000000000000000000e+00 -2.000234620908227726e+03 -3.763694199999999910e+03 -2.551432692463652074e+03
1.100000000000000000e+02 1.000000000000000000e+00 -2.001279388150091336e+03 -3.763775299999999334e+03 -2.551667332626730513e+03
1.200000000000000000e+02 1.000000000000000000e+00 -2.002072123104819866e+03 -3.763852100000000064e+03 -2.552129362365159977e+03
1.300000000000000000e+02 1.000000000000000000e+00 -2.002602826732995936e+03 -3.763798899999999776e+03 -2.552965564484177776e+03
1.400000000000000000e+02 -1.000000000000000000e+00 -2.003033976517792325e+03 -3.763679599999999937e+03 -2.553969806435027294e+03
1.300000000000000000e+02 -1.000000000000000000e+00 -2.002626573312464416e+03 -3.763779300000000148e+03 -2.552978179949430796e+03
1.200000000000000000e+02 -1.000000000000000000e+00 -2.002092567453071069e+03 -3.763810199999999895e+03 -2.552184351715261528e+03
1.100000000000000000e+02 -1.000000000000000000e+00 -2.001311127319519301e+03 -3.763733799999999519e+03 -2.551726027814983354e+03
1.000000000000000000e+02 -1.000000000000000000e+00 -2.000251803911148045e+03 -3.763666099999999915e+03 -2.551442931819621208e+03
9.000000000000000000e+01 -1.000000000000000000e+00 -1.998912900000000036e+03 -3.763507399999999961e+03 -2.551423600000000079e+03
8.000000000000000000e+01 -1.000000000000000000e+00 -1.998266205467480631e+03 -3.763402999999999793e+03 -2.551312992045478040e+03
7.000000000000000000e+01 -1.000000000000000000e+00 -1.997565805274314471e+03 -3.763366199999999480e+03 -2.551303377238967187e+03
6.000000000000000000e+01 -1.000000000000000000e+00 -1.996979833373649399e+03 -3.763353799999999865e+03 -2.551338533093592105e+03
5.000000000000000000e+01 -1.000000000000000000e+00 -1.996436642403892392e+03 -3.763391299999999774e+03 -2.551444475963669447e+03
4.000000000000000000e+01 -1.000000000000000000e+00 -1.995957122211342949e+03 -3.763423899999999776e+03 -2.551653008100291117e+03
