# angle direction x y z
4.000000000000000000e+01 1.000000000000000000e+00 1.996219956117117135e+03 2.748450707862194122e+03 1.753015711218797605e+02
5.000000000000000000e+01 1.000000000000000000e+00 1.995744278214599944e+03 2.748301326427465483e+03 1.754802804527354283e+02
6.000000000000000000e+01 1.000000000000000000e+00 1.995184204693719039e+03 2.748306725403730070e+03 1.755921119712357950e+02
7.000000000000000000e+01 1.000000000000000000e+00 1.994552328474167098e+03 2.748380100609889269e+03 1.756827604760131862e+02
8.000000000000000000e+01 1.000000000000000000e+00 1.993921861958320733e+03 2.748416805817009390e+03 1.757471579356037807e+02
9.000000000000000000e+01 1.000000000000000000e+00 1.993241500000000087e+03 2.748559435333454985e+03 1.757664442313412110e+02
1.000000000000000000e+02 1.000000000000000000e+00 1.991849736838195440e+03 2.748587651719840778e+03 1.755390524291717043e+02
1.100000000000000000e+02 1.000000000000000000e+00 1.990832097231434318e+03 2.748926349584193304e+03 1.753018756290087765e+02
1.200000000000000000e+02 1.000000000000000000e+00 1.990024678388429948e+03 2.749383478676280447e+03 1.750881510783726753e+02
1.300000000000000000e+02 1.000000000000000000e+00 1.989467766757193885e+03 2.750188310223168173e+03 1.749162179554567160e+02
1.400000000000000000e+02 -1.000000000000000000e+00 1.989097754178711966e+03 2.751195437710742226e+03 1.747708779080737997e+02
1.300000000000000000e+02 -1.000000000000000000e+00 1.989455683276169566e+03 2.750169157271902350e+03 1.748915065422208670e+02
1.200000000000000000e+02 -1.000000000000000000e+00 1.990017556333921448e+03 2.749332879931329444e+03 1.750613778949791595e+02
1.100000000000000000e+02 -1.000000000000000000e+00 1.990791755764880008e+03 2.748858710961170800e+03 1.752682387035878264e+02
1.000000000000000000e+02 -1.000000000000000000e+00 1.991871381218780016e+03 2.748565473847339490e+03 1.755250469745049315e+02
9.000000000000000000e+01 -1.000000000000000000e+00 1.993228200000000015e+03 2.748492363424282757e+03 1.757581274410942456e+02
8.000000000000000000e+01 -1.000000000000000000e+00 1.993903402490062035e+03 2.748386748220041682e+03 1.757356736465044946e+02
7.000000000000000000e+01 -1.000000000000000000e+00 1.994550419700347447e+03 2.748300220279970745e+03 1.756798726611584698e+02
6.000000000000000000e+01 -1.000000000000000000e+00 1.995205915463234760e+03 2.748267888691456392e+03 1.756021060828440739e+02
5.000000000000000000e+01 -1.000000000000000000e+00 1.995767531894503918e+03 2.748300051903870099e+03 1.754902975361690949e+02
4.000000000000000000e+01 -1.000000000000000000e+00 1.996217983880012753e+03 2.748469919688746359e+03 1.753238384971474488e+02
