# x y z x_res y_res z_res
1.326349198437246969e+03 2.329767585173792668e+03 -4.729009689709214115e+01 0.000000000000000000e+00 0.000000000000000000e+00 -5.109622972400273966e-02
1.140352583525463160e+03 2.078533545912543559e+03 -3.705075403340586604e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.164447152102866312e-02
1.141779121712371534e+03 2.494964226551511729e+03 -4.862208336572358292e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.286023528636405899e-02
1.517099565956492370e+03 2.078726724687121987e+03 -4.475041951894800718e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.368672925116953820e-02
1.518055970027288595e+03 2.499459208183028295e+03 -5.637403443690666904e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.932015263840725083e-02
-1.990487408985223965e+02 2.070971000838668715e+03 -2.711465595578444976e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.530860290276336855e-02
1.753158935189786405e+02 2.072977150421408169e+03 -2.709688986123969912e+01 0.000000000000000000e+00 0.000000000000000000e+00 -6.592701744612128323e-03
1.752389028481326534e+02 2.493732095740002478e+03 -3.884358874701798214e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.749422410320278232e-03
-1.990527095725228719e+02 2.488334035067491186e+03 -3.874848098971239807e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.049417058103330191e-02
-1.370952384814413705e+01 2.322322310111535899e+03 -3.357746808206594125e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.734988258796590799e-02
6.595184081210135218e+02 1.577630179326888538e+03 -1.907648185489920678e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.616104450054379527e-02
8.494200122424595065e+02 1.326964205650509257e+03 -1.679693812970543476e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.376887531093331063e-03
4.743641947958216178e+02 1.744184570897223921e+03 -2.086546214415832878e+01 0.000000000000000000e+00 0.000000000000000000e+00 -7.301259546963478897e-03
4.746416796551773132e+02 1.326619681969754765e+03 -1.289340172501301574e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.491527272062143084e-03
8.499598929653978985e+02 1.748396261584715603e+03 -2.483164136530976762e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.200760077622888389e-02
-1.955111022373598644e+02 1.324308951384464990e+03 -1.138320731580355094e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.050927223276843847e-02
-1.117905918557603862e+01 1.574433387495903617e+03 -1.561008338259240880e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.802927625311625093e-02
1.788494650419995367e+02 1.325190188693573873e+03 -1.134871953312717707e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.018571344757468466e-02
-1.950212023663549985e+02 1.740759379197366115e+03 -1.933216226732577780e+01 0.000000000000000000e+00 0.000000000000000000e+00 -9.143459311928836541e-04
1.796427508735627043e+02 1.745392894923935728e+03 -1.938730886735817904e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.777945833920568930e-02
-4.914868375337162547e+02 1.743346811832421281e+03 -2.097638107185752077e+01 0.000000000000000000e+00 0.000000000000000000e+00 -4.354577006186133303e-03
-4.902228311620589238e+02 1.325241361663790940e+03 -1.298879301605433589e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.143514574983583998e-02
-8.648480102666998164e+02 1.321409590534702829e+03 -1.691288896154689425e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.842303968452085883e-03
-8.644605191162200981e+02 1.739976662505849617e+03 -2.484397173110231449e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.300462626041223757e-03
-6.822109713643435498e+02 1.575764074500524885e+03 -1.927803286391044679e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.853946413305607166e-03
-8.684122538090448415e+02 2.069397692916914366e+03 -3.260470783082799784e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.483075947947611439e-03
-4.947439045509364632e+02 2.071322281330254555e+03 -2.871325917386219118e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.062390402080737317e-02
-6.853521079106136540e+02 2.321753364470729593e+03 -3.717681109745089429e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.400066901772589745e-02
-4.938222400667758620e+02 2.490357187062152207e+03 -4.037670068484398911e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.244031487992458551e-03
-8.668105003472464887e+02 2.486411041186868260e+03 -4.414496705267070809e+01 0.000000000000000000e+00 0.000000000000000000e+00 -7.376243297855467063e-03
1.328564988124750244e+03 1.580911204745264740e+03 -2.950625682117034643e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.726663764087632558e-02
1.143261313861620692e+03 1.746080867592878121e+03 -2.932443339766824408e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.232007878381537580e-02
1.519400725397759061e+03 1.330107305402926386e+03 -2.924915416816840974e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.316075506198899348e-02
1.518133652660524604e+03 1.752601822145040387e+03 -3.718566852871007455e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.326386987547323315e-02
1.144111168760045985e+03 1.328372184291826898e+03 -2.142210755706572201e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.146084300260980626e-03
4.715073053172694699e+02 2.076114242531351010e+03 -2.866138943944555351e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.973527191780988232e-02
8.468353717569381161e+02 2.077103731653015529e+03 -3.251426759748901674e+01 0.000000000000000000e+00 0.000000000000000000e+00 -9.673649569059250553e-03
6.571295596241874364e+02 2.327010131539057966e+03 -3.703423180173917473e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.280129619869541102e-02
4.711672284720975767e+02 2.491357870041601473e+03 -4.023931928467391117e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.667311737110566128e-02
8.464220548431231919e+02 2.497280061323959671e+03 -4.420565233042785991e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.348483957076496154e-02
8.444509282413379196e+02 2.825290028796872775e+03 -5.470163100736893114e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.435055312768668045e-03
4.678683309369085919e+02 3.240909971859095094e+03 -6.602785056066190350e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.175239263619687335e-02
4.678338183074722565e+02 2.823991719292608195e+03 -5.090372603091770998e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.269521959460064409e-03
6.531326392030807710e+02 3.075874449786612786e+03 -6.138227507274712025e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.586958730065873624e-03
8.449098998602711390e+02 3.246509017193712680e+03 -6.995979056372800642e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.553615740643010668e-02
1.139674346575608752e+03 2.832389762707305636e+03 -5.937948171629919614e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.704235953978638918e-02
1.138399641363305818e+03 3.247341496418877341e+03 -7.435070054089149494e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.310713764490856192e-02
1.513463953744514811e+03 2.833229096774444315e+03 -6.689148812249905518e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.321121894069676728e-02
1.512893554359137397e+03 3.252914115072991535e+03 -8.197113305011502860e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.580818494787195050e-02
1.323042973740249636e+03 3.082347258292643801e+03 -7.157611276325623351e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.306201462105605060e-02
1.813202640010805681e+03 1.750389958922674396e+03 -4.470859706399044597e+01 0.000000000000000000e+00 0.000000000000000000e+00 -9.771040114983975400e-03
1.999024345126152639e+03 1.584870549736632029e+03 -4.681315804068362496e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.732235983350705055e-02
1.814134489434658235e+03 1.332789479006208239e+03 -3.691904936264362647e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.216943119395580197e-03
2.188692083893098697e+03 1.333546967139579237e+03 -4.849361253416312678e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.399088971730577668e-03
2.188515663101382415e+03 1.755428175528091060e+03 -5.630822775419088089e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.072971456036952986e-02
2.488086539160652137e+03 1.002828373580489597e+03 -5.461371650155845714e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.378832123377151220e-02
2.487556650780582913e+03 5.860906692266941036e+02 -5.067580848954754202e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.463531242921845887e-02
2.672548495681746317e+03 8.375981196543505121e+02 -6.009947975961488709e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.413708600198674503e-02
2.861519334411222189e+03 1.007209009681069233e+03 -6.988760719595188675e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.890929804600261832e-02
2.862518525369015606e+03 5.863208672759524234e+02 -6.603822468886374963e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.259676901578245634e-03
2.193060288654598025e+03 1.006515042119734403e+03 -4.403589427564511993e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.404854142537885764e-03
1.818694878835055306e+03 9.990493689956116441e+02 -3.230308203946600543e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.254849887653364249e-02
2.003200184418781191e+03 8.342733861123797396e+02 -3.595075689936899010e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.040689078556056302e-02
2.192938020213222899e+03 5.847463771834288764e+02 -4.000472760850161791e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.553877939362990901e-02
1.818616733223519986e+03 5.842682181785988860e+02 -2.829709320278692175e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.203080067258156305e-02
1.525249803772667292e+03 5.825401455515187763e+02 -2.058597189009018891e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.860271371756709868e-03
1.524134929744705914e+03 1.004524871797755964e+03 -2.468666449609557745e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.005950009290359048e-02
1.333516821391502617e+03 8.327977127097586845e+02 -1.846344290281304978e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.051744798766463873e-03
1.148869679519669944e+03 9.972744682066314681e+02 -1.672835187963264758e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.001025060560678526e-02
