# x y z x_res y_res z_res
-1.934802595055337861e+03 1.947339879702414237e+03 1.162589262997636013e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.944574601907845590e-02
-1.935750357373728093e+03 1.946473030229038613e+03 1.162659287683262335e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.387978563809724619e-02
-1.935680645363406711e+03 1.946601122177825800e+03 1.162686480215742790e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.217758009601311642e-02
-2.103607124574990848e+03 2.142860162142646914e+03 1.361070718005904610e+02 0.000000000000000000e+00 0.000000000000000000e+00 -4.355347149709132282e-02
-2.103601322798147066e+03 2.142918674110600932e+03 1.361100117689091746e+02 0.000000000000000000e+00 0.000000000000000000e+00 -3.669082404158530153e-02
-2.103654729697266248e+03 2.143075106872717242e+03 1.361219116708755905e+02 0.000000000000000000e+00 0.000000000000000000e+00 -3.505738823878346011e-02
-2.286490805482935230e+03 1.966164760290617096e+03 1.377737958471224147e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.604811721556643533e-02
-2.286486603058992387e+03 1.966348581952037648e+03 1.377830008644831139e+02 0.000000000000000000e+00 0.000000000000000000e+00 -3.348798771312999634e-02
-2.286517707923466787e+03 1.966336121187900744e+03 1.377843354099950375e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.349840148400517137e-02
-1.930821029097812016e+03 2.319455847622421516e+03 1.366878048721858079e+02 0.000000000000000000e+00 0.000000000000000000e+00 -5.706110294286759199e-02
-1.930648302025673956e+03 2.319375890102518952e+03 1.366736311587017099e+02 0.000000000000000000e+00 0.000000000000000000e+00 -5.788161792025903196e-02
-1.930580590622663522e+03 2.319410490471136654e+03 1.366720769221200840e+02 0.000000000000000000e+00 0.000000000000000000e+00 -5.595097160176010220e-02
-1.933362602033924986e+03 1.943565030563390792e+03 1.159923386327134125e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.002560914937646430e-02
-1.933358300492222043e+03 1.943671743075898348e+03 1.159974676110703342e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.021214503007229268e-02
-1.933361400895735187e+03 1.943675854808734357e+03 1.159978394590046804e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.205421408137908656e-02
-1.933348098105991085e+03 1.943771971738759476e+03 1.160019565422909125e+02 0.000000000000000000e+00 0.000000000000000000e+00 8.982943463806236650e-03
-2.128150974860587212e+03 2.172524213879821218e+03 1.392309813921892498e+02 0.000000000000000000e+00 0.000000000000000000e+00 -6.662596088281702578e-02
-2.128186779327211298e+03 2.172693992862946288e+03 1.392427747514904581e+02 0.000000000000000000e+00 0.000000000000000000e+00 -8.399021606584256006e-02
-2.128176877999065255e+03 2.172643894280524819e+03 1.392393340868004543e+02 0.000000000000000000e+00 0.000000000000000000e+00 -7.491846507258514976e-02
-2.128153474566284785e+03 2.172606320007191243e+03 1.392358048361599572e+02 0.000000000000000000e+00 0.000000000000000000e+00 -7.309661605188466638e-02
-2.310174392827769680e+03 1.951431436146501937e+03 1.385300919587595843e+02 0.000000000000000000e+00 0.000000000000000000e+00 -6.700750585875425713e-02
-2.310218500441183551e+03 1.951333675092765134e+03 1.385279216339507116e+02 0.000000000000000000e+00 0.000000000000000000e+00 -4.816480394578093183e-02
-2.310285310526096964e+03 1.951373211159072980e+03 1.385342343001744609e+02 0.000000000000000000e+00 0.000000000000000000e+00 -3.834649377918708524e-02
-2.310290210803972968e+03 1.951427389911063301e+03 1.385373212211295595e+02 0.000000000000000000e+00 0.000000000000000000e+00 -4.051779519369347327e-02
-2.292152544577267236e+03 1.651481716086844472e+03 1.232706610936338336e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.948048899605737461e-02
-2.292148342804103777e+03 1.651621543003685247e+03 1.232764042467667593e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.718574242117654194e-02
-2.292149442532816920e+03 1.651684261105011274e+03 1.232791686719301936e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.027607791144191651e-02
-1.937529660813066812e+03 1.631882904779297405e+03 1.018818606858978626e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.651362772735410545e-02
-1.937610173630946292e+03 1.631908745674542388e+03 1.018872009533684633e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.802534410950840993e-02
-1.937600371921602573e+03 1.631909441507104020e+03 1.018867113632138057e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.418350548801129207e-02
-1.930453266712272125e+03 1.246316415692342844e+03 8.736110070586919107e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.775934215982033493e-02
