# x y z x_res y_res z_res
-1.934805736984209034e+03 1.947343056737171764e+03 1.162592539045554929e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.810922915817570811e-02
-2.103610546676324248e+03 2.142863660933461233e+03 1.361074685013548162e+02 0.000000000000000000e+00 0.000000000000000000e+00 -4.503108291115154316e-02
-2.286494524976803859e+03 1.966167973459858104e+03 1.377741977743013138e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.755267155171736704e-02
-1.930583732098559040e+03 2.319414275177575746e+03 1.366724761159593413e+02 0.000000000000000000e+00 0.000000000000000000e+00 -5.740918272994122162e-02
-1.933364540401630620e+03 1.943679025840681561e+03 1.159981661558636716e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.071951160237972545e-02
-2.128190242297830991e+03 2.172697540764700989e+03 1.392431824209014053e+02 0.000000000000000000e+00 0.000000000000000000e+00 -8.548924002803914846e-02
-2.310289068882359970e+03 1.951376400574292802e+03 1.385346388154570150e+02 0.000000000000000000e+00 0.000000000000000000e+00 -3.985746702238657235e-02
-2.292156268812777398e+03 1.651484415938832171e+03 1.232710119710011725e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.807307189601715436e-02
-1.937532802733777999e+03 1.631885567239479087e+03 1.018821382032861322e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.775273371571529424e-02
-1.930456392868592957e+03 1.246318449911954531e+03 8.736132795880732260e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.663714704110930143e-02
-2.100483311054798833e+03 1.442234673864219303e+03 1.033790803837679846e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.657013454663115226e-02
-2.297112431860456127e+03 1.598263645718389171e+03 1.213346948536610626e+02 0.000000000000000000e+00 0.000000000000000000e+00 3.694628125583676592e-02
-2.314627874300132589e+03 1.248956602304010175e+03 1.095356969182574858e+02 0.000000000000000000e+00 0.000000000000000000e+00 -6.152595036283514673e-03
-2.581396956207615858e+03 1.605171016410030688e+03 1.407362467774613890e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.251894678036592268e-02
-2.589772969945398927e+03 1.230245758742912585e+03 1.273323919075041601e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.409377748699114363e-02
-2.796575091770951985e+03 1.444433533042712270e+03 1.502437370493457252e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.550309428066157125e-02
-2.991878039952077415e+03 1.594056522503633232e+03 1.720496644028828541e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.149433041148540724e-02
-2.999142022951610670e+03 1.254032087728710621e+03 1.595916788633745114e+02 0.000000000000000000e+00 0.000000000000000000e+00 -6.816495306225078821e-03
-1.929711151121726971e+03 9.072012302673348358e+02 7.805766184436856747e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.105926954551250674e-02
-1.928614944191770974e+03 5.286943800996688196e+02 7.107028931341105249e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.682154064061251120e-03
-1.928558832392672457e+03 5.289741292174074943e+02 7.107124333006548511e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.610474131036767176e-03
-2.106404208716304765e+03 7.282147690085214435e+02 8.383993171484371487e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.945445679147496776e-02
