# x y z x_res y_res z_res
2.509303434582536738e+03 -2.438949055130292436e+03 -6.782806308407100460e+01 0.000000000000000000e+00 0.000000000000000000e+00 -6.689722117116048139e-02
2.877204053273502723e+03 -2.432372194539451812e+03 -8.241272838421782865e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.910168075317301373e-03
2.693723861389847116e+03 -2.184570045855505214e+03 -6.787858727782790424e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.035176632573666211e-02
2.511823602382190984e+03 -2.024365008635294316e+03 -5.657818850736372696e+01 0.000000000000000000e+00 0.000000000000000000e+00 -5.864267064488615233e-03
2.869121151531956457e+03 -2.011024973211060797e+03 -7.076749560156341090e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.307947993402592601e-02
2.506070998656372467e+03 -1.691735097548089925e+03 -4.868461742472403841e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.401638055356784207e-02
2.875990965704477276e+03 -1.681964503868430256e+03 -6.362584645403895678e+01 0.000000000000000000e+00 0.000000000000000000e+00 -4.589780994376013723e-02
2.686879937897324453e+03 -1.442775828113889247e+03 -5.099972307437293750e+01 0.000000000000000000e+00 0.000000000000000000e+00 -3.778512019103175135e-02
2.504957223227578197e+03 -1.276618566458708528e+03 -4.091330581500322694e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.109764187201278673e-02
2.870182855974853737e+03 -1.263776431176103870e+03 -5.574121291954232049e+01 0.000000000000000000e+00 0.000000000000000000e+00 -7.034871955339383476e-02
2.871939284207754099e+03 -9.327477579071951368e+02 -5.125637124665398403e+01 0.000000000000000000e+00 0.000000000000000000e+00 -8.743931009634309248e-02
2.501267874995529837e+03 -9.344154646949587004e+02 -3.597588113915891483e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.729370307217095615e-04
2.677125257945469457e+03 -6.934610642507898319e+02 -4.049454886270950738e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.086651967071475156e-03
2.505162535288816343e+03 -5.221100412575933660e+02 -3.226744881857113967e+01 0.000000000000000000e+00 0.000000000000000000e+00 -4.012733215873254267e-03
2.875607288496304136e+03 -5.172680621769970912e+02 -4.757179939158547199e+01 0.000000000000000000e+00 0.000000000000000000e+00 -1.966803986488230294e-02
2.874889709763586779e+03 -1.807343063613629113e+02 -4.596955750658532480e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.526185389257506131e-02
2.499306981844557868e+03 -1.893979073480209934e+02 -3.046216920875583156e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.273168085171931807e-02
2.676894180468682862e+03 6.133045656114243371e+01 -3.726911410266727387e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.127032404309829872e-02
2.497273727437558136e+03 2.275431723132421098e+02 -3.034134505566584394e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.462959455134821951e-02
2.861965058954384858e+03 2.371892245661498464e+02 -4.537855052056592342e+01 0.000000000000000000e+00 0.000000000000000000e+00 9.799805580016140993e-02
2.861214498021710369e+03 5.570956166446301268e+02 -4.676381645897699713e+01 0.000000000000000000e+00 0.000000000000000000e+00 8.132155933670759396e-02
2.508326213585007736e+03 5.603052285924341049e+02 -3.227040904651492781e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.978455109460355743e-02
2.680875796645922037e+03 8.123809548924123192e+02 -4.116731850205347598e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.315603460557440485e-02
2.496897584598461890e+03 9.704715755016402454e+02 -3.554037824483089736e+01 0.000000000000000000e+00 0.000000000000000000e+00 7.238552617389615307e-02
2.864388004398473186e+03 9.850940303471775223e+02 -5.072937648799037902e+01 0.000000000000000000e+00 0.000000000000000000e+00 3.218744937669271167e-02
2.863629721427583718e+03 1.308582969460884897e+03 -5.503824253209302242e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.047647579433004239e-01
2.489683952036390565e+03 1.309016757876596785e+03 -3.985465442643712919e+01 0.000000000000000000e+00 0.000000000000000000e+00 4.127227397642485585e-02
2.665359877831424910e+03 1.554265402655946446e+03 -5.089405797789470398e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.659605162446098348e-02
2.854235027723625990e+03 1.723753845087396485e+03 -6.200713564562168756e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.981903233772698059e-02
2.494510650725921096e+03 1.723245553256409494e+03 -4.749965451151624052e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.103275289876819443e-02
2.859073989887162952e+03 2.065763279062187394e+03 -6.978128473419012323e+01 0.000000000000000000e+00 0.000000000000000000e+00 6.505515475450351914e-02
2.489881125910961600e+03 2.060238194360410034e+03 -5.486845607677692982e+01 0.000000000000000000e+00 0.000000000000000000e+00 5.820042530658753321e-02
2.663708717427130978e+03 2.303718868995143566e+03 -6.781382984289385263e+01 0.000000000000000000e+00 0.000000000000000000e+00 9.339359639363919996e-02
2.484845717895942016e+03 2.468299266152987002e+03 -6.554658773511123115e+01 0.000000000000000000e+00 0.000000000000000000e+00 1.795195872063004572e-02
2.851983814034702846e+03 2.485856371713861790e+03 -8.058403014118871965e+01 0.000000000000000000e+00 0.000000000000000000e+00 2.633682948983562255e-02
2.175169505842688068e+03 3.280492865825267472e+03 -8.206481359468240555e+01 0.000000000000000000e+00 0.000000000000000000e+00 -2.858514540106682489e-02
