# x y z x_res y_res z_res
-2.995741730565954640e+03 1.572957145985138368e+03 1.714717471155866804e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.912624423819920594e-02
-2.610562335512287063e+03 1.586308119725172901e+03 1.420357107076904128e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.513798579130366306e-02
-2.784981513178818204e+03 1.479998491803230763e+03 1.507337730564730407e+02 0.000000000000000000e+00 0.000000000000000000e+00 -5.991072896563309769e-03
-2.600199767240038000e+03 1.241458881581849255e+03 1.284378571582844302e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.940135806855437295e-02
-3.002308119257309500e+03 1.258688745209140507e+03 1.600126969616319457e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.061551900411018323e-02
-2.990818611845173564e+03 9.380993099603208520e+02 1.495062290170818358e+02 0.000000000000000000e+00 0.000000000000000000e+00 5.066547105673180340e-02
-2.625338432926769201e+03 9.239968388342094840e+02 1.211401002030266909e+02 0.000000000000000000e+00 0.000000000000000000e+00 -1.971340704731971982e-02
-2.787659547525350717e+03 7.729604882305372939e+02 1.296297539398187837e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.083326784716632574e-02
-2.975877154589332349e+03 5.387398427482386296e+02 1.400945007271452312e+02 0.000000000000000000e+00 0.000000000000000000e+00 8.399318999363458715e-02
-2.581476096116462486e+03 5.187425341630762432e+02 1.101894271597276997e+02 0.000000000000000000e+00 0.000000000000000000e+00 -3.106856136821534164e-02
-2.596746662397407363e+03 2.179138075402796630e+02 1.080547090558957279e+02 0.000000000000000000e+00 0.000000000000000000e+00 -1.007952077006279978e-02
-2.968580071928339748e+03 2.139196401723748124e+02 1.358043060382046008e+02 0.000000000000000000e+00 0.000000000000000000e+00 6.597730944378099593e-03
-2.797236960762284070e+03 6.749347841243817925e+01 1.217244756579690517e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.964403455909405238e-02
