# x y z x_res y_res z_res
-2.999168779342473954e+03 -1.662622214833940689e+03 1.667949723960435051e+02 0.000000000000000000e+00 0.000000000000000000e+00 7.819931027739812635e-03
-2.999271565139873928e+03 -1.662559554323521070e+03 1.668008423692488122e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.540282384262582127e-02
-2.999226500745895009e+03 -1.662528650095907324e+03 1.667960853099597500e+02 0.000000000000000000e+00 0.000000000000000000e+00 2.102411946165716472e-02
-2.621547778797329102e+03 -1.652277578659947039e+03 1.383090252629597501e+02 0.000000000000000000e+00 0.000000000000000000e+00 5.634038378360628485e-03
-2.621648578493245168e+03 -1.652189251288152946e+03 1.383127045763505407e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.102766065955165686e-03
-2.621610630327244053e+03 -1.652318322092954759e+03 1.383148712686348460e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.199012650678810132e-02
-2.792460491932400600e+03 -1.421394705030604200e+03 1.425747834512391137e+02 0.000000000000000000e+00 0.000000000000000000e+00 -1.393900718551321916e-02
-2.792369745949079061e+03 -1.421367285859913864e+03 1.425672127186816169e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.032016497674703714e-02
-2.792456308516720128e+03 -1.421365243113900988e+03 1.425735408249332465e+02 0.000000000000000000e+00 0.000000000000000000e+00 9.934852788632042575e-03
-2.622399785936614535e+03 -1.248339723723317320e+03 1.252943260710868003e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.485829143676653530e-02
-2.622335864000031961e+03 -1.248241135759630197e+03 1.252871881815201931e+02 0.000000000000000000e+00 0.000000000000000000e+00 9.476809008944542256e-03
-2.622230013524358583e+03 -1.248236214981535795e+03 1.252797488910031518e+02 0.000000000000000000e+00 0.000000000000000000e+00 5.915676951062209810e-03
-2.960635322770860057e+03 -1.226241454939978212e+03 1.496688988498512458e+02 0.000000000000000000e+00 0.000000000000000000e+00 1.938759629183550715e-03
-2.960559100678538925e+03 -1.226153955296163986e+03 1.496605256335480476e+02 0.000000000000000000e+00 0.000000000000000000e+00 5.600133802204254607e-03
-2.960549074238347202e+03 -1.226214922599994225e+03 1.496613877048460779e+02 0.000000000000000000e+00 0.000000000000000000e+00 4.940241432123571030e-02
-2.999756539343780787e+03 -9.497587097466592923e+02 1.461863266351917332e+02 0.000000000000000000e+00 0.000000000000000000e+00 -6.254215803039642196e-03
-2.638581157387143321e+03 -9.238688352868097127e+02 1.186639786546008679e+02 0.000000000000000000e+00 0.000000000000000000e+00 6.607733417226313577e-03
-2.638549035619385904e+03 -9.237419103905284601e+02 1.186591924391076844e+02 0.000000000000000000e+00 0.000000000000000000e+00 -6.467736427850923064e-03
-2.638713902566322759e+03 -9.236620229312724177e+02 1.186690547933950199e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.107047564621211677e-03
-2.812752700775747599e+03 -7.154387223165836076e+02 1.275495683302221295e+02 0.000000000000000000e+00 0.000000000000000000e+00 -1.886825058372210151e-02
-2.812656131834562984e+03 -7.154622856548199934e+02 1.275427141828179742e+02 0.000000000000000000e+00 0.000000000000000000e+00 -2.152828890601199419e-02
-2.812752282479448240e+03 -7.154753881306742187e+02 1.275500915904385124e+02 0.000000000000000000e+00 0.000000000000000000e+00 -1.370118805078845980e-02
