Enabled,Feature,ID,x,y,z,i,j,k,Dev From Fit,Device Position,Probe,Device Name
Checked,Bearing_Hole_Circle,10,-73.291273,0.1552,-2039.035738,,,,-0.168982, ,0,
Checked,Bearing_Hole_Circle,9,-692.169567,0.166515,-1919.431078,,,,-0.121528, ,0,
Checked,Bearing_Hole_Circle,2,-687.707568,0.011588,1920.935194,,,,-0.096822, ,0,
Checked,Bearing_Hole_Circle,1,-0.078659,-0.011153,2040.304639,,,,-0.088875, ,0,
Checked,Bearing_Hole_Circle,3,-1301.786564,0.041699,1571.16701,,,,-0.062534, ,0,
Checked,Bearing_Hole_Circle,4,-1773.972979,0.076704,1008.223934,,,,-0.029001, ,0,
Checked,Bearing_Hole_Circle,11,760.050608,-0.025055,1893.516682,,,,-0.005428, ,0,
Checked,Bearing_Hole_Circle,8,-1308.959874,0.168327,-1565.432837,,,,0.022765, ,0,
Checked,Bearing_Hole_Circle,13,1797.429288,-0.014699,965.631096,,,,0.033812, ,0,
Checked,Bearing_Hole_Circle,15,2039.956607,0.016136,43.844156,,,,0.051591, ,0,
Checked,Bearing_Hole_Circle,12,1320.534504,-0.026042,1555.464142,,,,0.054257, ,0,
Checked,Bearing_Hole_Circle,5,-2014.389008,0.110479,325.880096,,,,0.054813, ,0,
Checked,Bearing_Hole_Circle,14,2012.683598,0.005093,335.414897,,,,0.072509, ,0,
Checked,Bearing_Hole_Circle,6,-2003.90312,0.13889,-385.694233,,,,0.137979, ,0,
Checked,Bearing_Hole_Circle,7,-1779.062436,0.157779,-999.698239,,,,0.145445, ,0,
